,PC1,PC2
10317.000001528,0.0007382998531921542,0.08309769400349801
10317.000001530,-0.16515617756432768,-0.0932497319839454
10317.000001531,-0.20707623362696165,0.02551721081659592
10317.000001534,0.12131180018265766,-0.15925763157750175
10317.000001535,0.17033370571577233,0.1292630421190634
10317.000001540,-0.20594527213261046,-0.09936081167044708
10317.000001541,0.026978430935367847,0.06621592244576094
10317.000001543,0.20486080027616277,-0.035372020121461414
10317.000001544,-0.20002210140705418,0.021864888063930894
10317.000001545,-0.21477199258959187,-0.00944869202466646
10317.000001546,-0.03389240469238067,0.030529822596814662
10317.000001548,0.29939495157100754,0.16064577155526266
10317.000001549,-0.15025075147302036,0.0006112657524189415
10317.000001551,-0.08221840596796424,0.02370724127834028
10317.000001552,-0.2036174864328901,-0.027638554156093766
10317.000001556,-0.03844186955072794,0.16105309033633863
10317.000001558,0.2290085193043796,0.038209883920968434
10317.000001559,-0.13167218844076137,0.0720445450576221
10317.000001565,-0.28450913936787636,-0.06324016614524562
10317.000001568,0.2045607411795746,-0.3872809764700915
10317.000001570,-0.23123736933674813,-0.02839650260209046
10317.000001571,0.09495546861325724,0.026712458112533283
10317.000001573,-0.3139010386005294,-0.08714984353637623
10317.000001574,-0.18776402593479993,0.05450179003658786
10317.000001576,-0.278038346008723,0.0010314506816335698
10317.000001579,0.11443719837066549,-0.03337725063700833
10317.000001580,0.01387246030680758,0.17493115466731307
10317.000001583,-0.27227921328989313,-0.09476132424578253
10317.000001585,0.14338132818216054,0.092425488223116
10317.000001586,0.1756470826819775,0.17976996368240808
10317.000001589,0.3251618617954503,-0.07251717915812068
10317.000001594,-0.27279009248719666,-0.06259823167438304
10317.000001595,-0.08717796169975599,0.1132948980691648
10317.000001597,-0.17008866085432003,0.09059551985008357
10317.000001605,0.0034853208526049763,-0.15289196139251002
10317.000001611,-0.23191226418605349,-0.0023613266009937634
10317.000001613,0.015732320932871656,0.2011602354449991
10317.000001614,-0.24361219237439033,-0.04979967800440876
10317.000001615,0.15610914843970616,-0.2882731712186302
10317.000001616,0.18857359233564724,0.14253207496698778
10317.000001618,-0.16810963617393698,0.09299120004161372
10317.000001622,-0.26834790549926835,0.03413716371977599
10317.000001632,-0.06793283138071943,0.12491547839925242
10317.000001645,-0.037213152979280475,-0.04353106823315868
10317.000001646,0.09606111180142954,-0.07166656392666744
10317.000001647,-0.13043414100712966,-0.00439868712843771
10317.000001649,-0.15453926622798525,-0.026006673457378067
10317.000001650,-0.28857898950533917,-0.12609614121319987
10317.000001651,-0.09198154419108592,0.022027920887047053
10317.000001652,0.05835786391294465,0.004681346566076133
10317.000001654,0.10319203759343792,-0.16882416016379415
10317.000001658,-0.3452464274397375,-0.15529605716042838
10317.000001659,0.26583306472270263,0.09059894087327937
10317.000001661,0.3107654686094463,0.1566080460290872
10317.000001669,-0.034231552444025926,-0.030995812934924066
10317.000001671,-0.18325589882788185,0.0656294299160303
10317.000001678,-0.19499993284623318,0.09724764467152291
10317.000001679,-0.22945619160482167,-0.04245966879129714
10317.000001684,0.010818406954035409,0.12350880011859906
10317.000001685,-0.24075965996796178,-0.0416352542086716
10317.000001687,-0.28220586694100613,-0.07732223837092522
10317.000001688,0.04529477117392107,-0.13995039027412748
10317.000001694,-0.1810875696649463,0.010484604554535483
10317.000001699,-0.02059145643823668,0.16146856417970956
10317.000001704,-0.3312192622981923,-0.11055048656566749
10317.000001705,0.023849129235316287,-0.07385909007792073
10317.000001711,0.05081556039241098,0.03917924121587332
10317.000001712,-0.08550047503088883,0.07787568321286203
10317.000001713,-0.20126976623836768,0.05848366604317881
10317.000001714,-0.08986747263013506,0.012572173447890718
10317.000001724,-0.2584400609545033,-0.02348400497784975
10317.000001725,0.28622260026865176,0.02975223391557237
10317.000001726,0.0293949431893373,0.06804967656899034
10317.000001730,-0.17866711955339262,0.06764072159560244
